City,Shelter_ID,Shelter_Name,Distance_km,Contact_Number,Email,Location,Latitude,Longitude
Chandigarh,CHA_SHEL_001,Chandigarh Relief Shelter 1,8.39,+91-8859430437,chandigarh_relief_shelter_1@relief.org,Chandigarh Sector-42,30.752117352475786,76.78868823690293
Chandigarh,CHA_SHEL_002,Chandigarh Relief Shelter 2,24.0,+91-8496436667,chandigarh_relief_shelter_2@relief.org,Chandigarh Sector-27,30.743870821095435,76.79095158167452
Chandigarh,CHA_SHEL_003,Chandigarh Relief Shelter 3,15.75,+91-8061994527,chandigarh_relief_shelter_3@relief.org,Chandigarh Sector-7,30.719242871197693,76.7732286045937
Chandigarh,CHA_SHEL_004,Chandigarh Relief Shelter 4,23.45,+91-8625091464,chandigarh_relief_shelter_4@relief.org,Chandigarh Sector-3,30.719286037122085,76.79217802949982
Chandigarh,CHA_SHEL_005,Chandigarh Relief Shelter 5,1.02,+91-9633657008,chandigarh_relief_shelter_5@relief.org,Chandigarh Sector-49,30.729359925283433,76.7967271917987
Chandigarh,CHA_SHEL_006,Chandigarh Relief Shelter 6,12.43,+91-9481567892,chandigarh_relief_shelter_6@relief.org,Chandigarh Sector-25,30.720331050300825,76.768102444505
Chandigarh,CHA_SHEL_007,Chandigarh Relief Shelter 7,17.67,+91-7174821926,chandigarh_relief_shelter_7@relief.org,Chandigarh Sector-22,30.74452554794748,76.77511634748524
Chandigarh,CHA_SHEL_008,Chandigarh Relief Shelter 8,14.57,+91-7749867945,chandigarh_relief_shelter_8@relief.org,Chandigarh Sector-48,30.753028272950832,76.76301907668359
Chandigarh,CHA_SHEL_009,Chandigarh Relief Shelter 9,15.41,+91-8749878656,chandigarh_relief_shelter_9@relief.org,Chandigarh Sector-14,30.727764829782526,76.79539684283395
Chandigarh,CHA_SHEL_010,Chandigarh Relief Shelter 10,21.64,+91-9945946638,chandigarh_relief_shelter_10@relief.org,Chandigarh Sector-39,30.751867564012066,76.77577356553759
Ludhiana,LUD_SHEL_001,Ludhiana Relief Shelter 1,18.36,+91-7423337690,ludhiana_relief_shelter_1@relief.org,Ludhiana Sector-9,30.891624515739473,75.86373635375149
Ludhiana,LUD_SHEL_002,Ludhiana Relief Shelter 2,12.35,+91-7454813114,ludhiana_relief_shelter_2@relief.org,Ludhiana Sector-21,30.905700393785555,75.84174644487231
Ludhiana,LUD_SHEL_003,Ludhiana Relief Shelter 3,11.51,+91-9072794370,ludhiana_relief_shelter_3@relief.org,Ludhiana Sector-50,30.889925628053497,75.86573413700764
Ludhiana,LUD_SHEL_004,Ludhiana Relief Shelter 4,22.07,+91-9076748868,ludhiana_relief_shelter_4@relief.org,Ludhiana Sector-27,30.895444123780766,75.86306818804204
Ludhiana,LUD_SHEL_005,Ludhiana Relief Shelter 5,19.34,+91-7073274154,ludhiana_relief_shelter_5@relief.org,Ludhiana Sector-16,30.892214116463265,75.86118366739666
Ludhiana,LUD_SHEL_006,Ludhiana Relief Shelter 6,14.43,+91-9895030471,ludhiana_relief_shelter_6@relief.org,Ludhiana Sector-8,30.892547027551334,75.8664982796682
Ludhiana,LUD_SHEL_007,Ludhiana Relief Shelter 7,10.26,+91-8819051879,ludhiana_relief_shelter_7@relief.org,Ludhiana Sector-14,30.919221387294424,75.85066593461868
Ludhiana,LUD_SHEL_008,Ludhiana Relief Shelter 8,22.64,+91-9905135123,ludhiana_relief_shelter_8@relief.org,Ludhiana Sector-23,30.896071015943306,75.85555406841665
Ludhiana,LUD_SHEL_009,Ludhiana Relief Shelter 9,11.77,+91-9712127852,ludhiana_relief_shelter_9@relief.org,Ludhiana Sector-14,30.900304129279817,75.84723020222003
Ludhiana,LUD_SHEL_010,Ludhiana Relief Shelter 10,22.02,+91-9018332354,ludhiana_relief_shelter_10@relief.org,Ludhiana Sector-33,30.88813056957046,75.86875887333238
Amritsar,AMR_SHEL_001,Amritsar Relief Shelter 1,8.65,+91-9140054783,amritsar_relief_shelter_1@relief.org,Amritsar Sector-28,31.633043276292078,74.85800957590446
